"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C2","E3,5-8","3.3782mm","175.798mm","3.3782mm","175.798mm","1.6002mm","175.798mm","T","0.00",""
"R30","0805","92.387mm","170.21mm","92.3798mm","170.21mm","91.4798mm","170.21mm","T","0.00",""
"T1","SOT23","91.9646mm","173.1132mm","91.9734mm","173.1056mm","93.0734mm","172.1556mm","T","90.00",""
"IC1","SO16","5.6642mm","165.9936mm","5.6642mm","165.9936mm","2.5908mm","170.4386mm","T","270.00",""
"SW1","EVQ-Q2","4.4737mm","151.6916mm","4.4704mm","151.6934mm","2.4704mm","155.0934mm","T","270.00",""
"SW2","EVQ-Q2","13.5603mm","151.5936mm","13.5636mm","151.5918mm","15.5636mm","148.1918mm","T","90.00",""
"SW3","EVQ-Q2","78.183mm","173.8963mm","78.1812mm","173.893mm","74.7812mm","171.893mm","T","0.00",""
"SW4","EVQ-Q2","86.7682mm","151.6967mm","86.7664mm","151.6934mm","83.3664mm","149.6934mm","T","0.00",""
"LED28","LED5MM","27.4828mm","171.099mm","27.4828mm","171.099mm","26.2128mm","171.099mm","T","0.00",""
"R1","0805","9.5686mm","178.592mm","9.5758mm","178.592mm","10.4758mm","178.592mm","T","180.00",""
"R2","0805","92.2854mm","167.8986mm","92.2782mm","167.8986mm","91.3782mm","167.8986mm","T","0.00",""
"R4","0805","77.0708mm","158.6022mm","77.0636mm","158.6022mm","76.1636mm","158.6022mm","T","0.00",""
"U$3","TSSOP24","17.58mm","165.8936mm","17.5768mm","165.892mm","14.0018mm","162.9742mm","T","0.00",""
"U$4","TSSOP24","72.7678mm","165.103mm","72.771mm","165.1046mm","76.346mm","168.0224mm","T","180.00",""
"R3","0805","18.0776mm","173.7914mm","18.0848mm","173.7914mm","18.9848mm","173.7914mm","T","180.00",""
"R5","0805","81.6538mm","170.0068mm","81.661mm","170.0068mm","82.561mm","170.0068mm","T","180.00",""
"R6","0805","75.2674mm","157.002mm","75.2602mm","157.002mm","74.3602mm","157.002mm","T","0.00",""
"C1","C0805","12.573mm","167.7902mm","12.573mm","167.797mm","12.573mm","168.647mm","T","270.00",""
"C3","C0805","81.5848mm","165.8988mm","81.5848mm","165.892mm","81.5848mm","165.042mm","T","90.00",""
